Sample,test,pH,moisture,perN,perC,CN,BG,NAG,BGNAG
A,bpre,6.73,1.78,0.085370831,1.600960612,18.75301657,101.4,38.5,2.633766234
B,bpre,6.83,1.49,0.123622462,2.883598089,23.32584256,125.7,79.6,1.579145729
C,bpre,7.32,1.16,0.158545896,2.68244195,16.91902478,123.5,42.6,2.899061033
D,bpre,6.89,1.13,0.096196882,1.954650283,20.3192685,127.5,34.4,3.706395349
E,bpre,7,2.18,0.151646242,3.304489136,21.79077504,194.1,49.3,3.937119675
F,bpost,7.04,3.23,0.118083715,2.099514008,17.7798776,105.9,32.5,3.258461538
G,bpost,7.56,3.03,0.182654187,3.724950552,20.39345832,145.9,54.5,2.67706422
H,bpost,7.19,1.84,0.137754217,2.254406691,16.36542781,103.8,28.8,3.604166667
I,bpost,6.77,2.74,0.089984536,1.97198832,21.91474674,132.5,38.8,3.414948454
J,bpost,6.71,3.06,0.13000378,2.397325993,18.44043296,109.7,45.1,2.432372506
K,tpre,5.98,5.13,0.228419453,5.35127306,23.42739636,297.6,303.6,0.980237154
L,tpre,6.69,3.45,0.171369806,4.358234406,25.431752,190.2,217.9,0.872877467
M,tpre,6.8,7.31,0.107873716,2.110408783,19.56369792,362.7,460.9,0.786938598
N,tpre,6.93,5.84,0.225855008,4.635332108,20.52348608,225.3,177,1.272881356
O,tpre,6.71,20.79,0.335710108,9.185385704,27.36106384,111.7,83.1,1.344163658
P,tpost,6.34,6.95,0.249906883,6.162395954,24.65876845,296,336,0.880952381
Q,tpost,6.26,4.42,0.207604125,3.933989525,18.94947666,203.2,301.3,0.674410886
R,tpost,6.82,4.77,0.205721378,4.044990063,19.66246822,258.9,208.5,1.241726619
S,tpost,7.13,18.67,0.407388777,8.494009972,20.84988704,397.9,329,1.209422492
T,tpost,6.67,6.7,0.230501443,3.753942728,16.28598362,200.6,100.4,1.998007968
